2017.326027
   Z       E         F
   4  2.229E+04  1.659E-11
   4  2.563E+04  1.084E-11
   4  2.948E+04  7.078E-12
   4  3.388E+04  4.627E-12
   4  3.896E+04  3.023E-12
   4  4.479E+04  1.976E-12
   4  5.150E+04  1.291E-12
   4  5.921E+04  8.436E-13
   4  6.808E+04  5.511E-13
   4  7.827E+04  3.602E-13
   4  9.000E+04  2.353E-13
   5  1.100E-01  1.194E-01
   5  1.265E-01  1.341E-01
   5  1.454E-01  1.501E-01
   5  1.672E-01  1.675E-01
   5  1.923E-01  1.862E-01
   5  2.210E-01  2.061E-01
   5  2.541E-01  2.271E-01
   5  2.922E-01  2.490E-01
   5  3.359E-01  2.715E-01
   5  3.862E-01  2.943E-01
   5  4.441E-01  3.171E-01
   5  5.106E-01  3.393E-01
   5  5.871E-01  3.605E-01
   5  6.750E-01  3.801E-01
   5  7.761E-01  3.976E-01
   5  8.922E-01  4.124E-01
   5  1.026E+00  4.240E-01
   5  1.179E+00  4.319E-01
   5  1.356E+00  4.358E-01
   5  1.559E+00  4.353E-01
   5  1.793E+00  4.302E-01
   5  2.061E+00  4.206E-01
   5  2.369E+00  4.066E-01
   5  2.725E+00  3.883E-01
   5  3.133E+00  3.664E-01
   5  3.602E+00  3.412E-01
   5  4.142E+00  3.136E-01
   5  4.762E+00  2.842E-01
   5  5.475E+00  2.540E-01
   5  6.294E+00  2.236E-01
   5  7.237E+00  1.940E-01
   5  8.322E+00  1.657E-01
   5  9.567E+00  1.394E-01
   5  1.100E+01  1.154E-01
   5  1.265E+01  9.406E-02
   5  1.454E+01  7.556E-02
   5  1.672E+01  5.978E-02
   5  1.923E+01  4.659E-02
   5  2.210E+01  3.585E-02
   5  2.541E+01  2.719E-02
   5  2.922E+01  2.037E-02
   5  3.359E+01  1.507E-02
   5  3.862E+01  1.104E-02
   5  4.441E+01  7.994E-03
   5  5.106E+01  5.735E-03
   5  5.871E+01  4.079E-03
   5  6.750E+01  2.878E-03
   5  7.760E+01  2.016E-03
   5  8.922E+01  1.403E-03
   5  1.026E+02  9.709E-04
   5  1.179E+02  6.686E-04
   5  1.356E+02  4.575E-04
   5  1.559E+02  3.125E-04
   5  1.793E+02  2.121E-04
   5  2.061E+02  1.437E-04
   5  2.369E+02  9.711E-05
   5  2.725E+02  6.539E-05
   5  3.133E+02  4.395E-05
   5  3.602E+02  2.947E-05
   5  4.142E+02  1.974E-05
   5  4.762E+02  1.320E-05
   5  5.475E+02  8.812E-06
   5  6.294E+02  5.878E-06
   5  7.237E+02  3.916E-06
   5  8.322E+02  2.606E-06
   5  9.567E+02  1.734E-06
   5  1.100E+03  1.152E-06
   5  1.265E+03  7.650E-07
   5  1.454E+03  5.082E-07
   5  1.672E+03  3.372E-07
   5  1.923E+03  2.236E-07
   5  2.210E+03  1.484E-07
   5  2.541E+03  9.838E-08
   5  2.922E+03  6.520E-08
   5  3.359E+03  4.319E-08
   5  3.862E+03  2.862E-08
   5  4.441E+03  1.896E-08
   5  5.106E+03  1.255E-08
   5  5.871E+03  8.312E-09
   5  6.750E+03  5.504E-09
   5  7.760E+03  3.644E-09
   5  8.922E+03  2.413E-09
   5  1.026E+04  1.597E-09
   5  1.179E+04  1.058E-09
   5  1.356E+04  6.994E-10
   5  1.559E+04  4.635E-10
   5  1.793E+04  3.063E-10
   5  2.061E+04  2.027E-10
   5  2.369E+04  1.343E-10
   5  2.725E+04  8.881E-11
   5  3.133E+04  5.877E-11
   5  3.602E+04  3.887E-11
   5  4.142E+04  2.573E-11
   5  4.762E+04  1.702E-11
   5  5.475E+04  1.127E-11
   5  6.294E+04  7.455E-12
   5  7.237E+04  4.933E-12
   5  8.322E+04  3.263E-12
   5  9.567E+04  2.160E-12
   5  1.100E+05  1.429E-12
   6  1.200E-01  4.577E-01
   6  1.380E-01  5.129E-01
   6  1.586E-01  5.726E-01
   6  1.824E-01  6.369E-01
   6  2.098E-01  7.056E-01
   6  2.411E-01  7.778E-01
   6  2.772E-01  8.533E-01
   6  3.187E-01  9.311E-01
   6  3.665E-01  1.010E+00
   6  4.213E-01  1.088E+00
   6  4.844E-01  1.165E+00
   6  5.570E-01  1.237E+00
   6  6.404E-01  1.304E+00
   6  7.363E-01  1.363E+00
   6  8.466E-01  1.413E+00
   6  9.733E-01  1.451E+00
   6  1.119E+00  1.476E+00
   6  1.286E+00  1.488E+00
   6  1.480E+00  1.484E+00
   6  1.700E+00  1.466E+00
   6  1.956E+00  1.432E+00
   6  2.249E+00  1.384E+00
   6  2.585E+00  1.323E+00
   6  2.972E+00  1.250E+00
   6  3.418E+00  1.168E+00
   6  3.930E+00  1.077E+00
   6  4.518E+00  9.824E-01
   6  5.195E+00  8.844E-01
   6  5.972E+00  7.861E-01
   6  6.866E+00  6.896E-01
   6  7.895E+00  5.970E-01
   6  9.078E+00  5.099E-01
   6  1.044E+01  4.297E-01
   6  1.200E+01  3.572E-01
   6  1.380E+01  2.929E-01
   6  1.586E+01  2.372E-01
   6  1.824E+01  1.895E-01
   6  2.098E+01  1.494E-01
   6  2.411E+01  1.165E-01
   6  2.772E+01  8.973E-02
   6  3.187E+01  6.834E-02
   6  3.665E+01  5.149E-02
   6  4.213E+01  3.843E-02
   6  4.844E+01  2.841E-02
   6  5.570E+01  2.082E-02
   6  6.404E+01  1.514E-02
   6  7.363E+01  1.094E-02
   6  8.466E+01  7.844E-03
   6  9.733E+01  5.594E-03
   6  1.119E+02  3.967E-03
   6  1.286E+02  2.801E-03
   6  1.480E+02  1.967E-03
   6  1.700E+02  1.378E-03
